Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,C,C1,MI00004565,20,Abitazioni civili,NORMALE, ,1350,1750,L,5.2,6.3,L,2023_1,Milano,1550.0,5.75
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,D,D1,MI00004566,20,Abitazioni civili,OTTIMO,P,1700,2150,L,5.9,8.0,L,2023_1,Milano,1925.0,6.95
NORD-OVEST,LOMBARDIA,MI,3015002,C1AC, ,A010,ABBIATEGRASSO,D,D1,MI00004566,20,Abitazioni civili,NORMALE, ,1350,1650,L,4.5,5.8,L,2023_1,Milano,1500.0,5.15
NORD-OVEST,LOMBARDIA,MI,3015003,C1AF, ,A087,AGRATE BRIANZA,B,B1,MI00004585,20,Abitazioni civili,OTTIMO, ,1800,2400,L,7.0,9.2,L,2023_1,Milano,2100.0,8.1
NORD-OVEST,LOMBARDIA,MI,3015003,C1AF, ,A087,AGRATE BRIANZA,B,B1,MI00004585,20,Abitazioni civili,NORMALE,P,1400,1800,L,5.3,7.0,L,2023_1,Milano,1600.0,6.15
NORD-OVEST,LOMBARDIA,MI,3015003,C1AF, ,A087,AGRATE BRIANZA,D,D1,MI00004586,20,Abitazioni civili,OTTIMO,P,1550,2150,L,6.1,8.8,L,2023_1,Milano,1850.0,7.45
NORD-OVEST,LOMBARDIA,MI,3015003,C1AF, ,A087,AGRATE BRIANZA,D,D1,MI00004586,20,Abitazioni civili,NORMALE, ,1150,1550,L,4.5,6.1,L,2023_1,Milano,1350.0,5.3
NORD-OVEST,LOMBARDIA,MI,3015004,C1AG, ,A096,AICURZIO,B,B1,MI00004587,20,Abitazioni civili,OTTIMO,P,1450,1850,L,5.8,7.5,L,2023_1,Milano,1650.0,6.65
NORD-OVEST,LOMBARDIA,MI,3015004,C1AG, ,A096,AICURZIO,B,B1,MI00004587,20,Abitazioni civili,NORMALE, ,1200,1400,L,4.0,5.7,L,2023_1,Milano,1300.0,4.85
NORD-OVEST,LOMBARDIA,MI,3015005,C1AH, ,A127,ALBAIRATE,B,B1,MI00004588,20,Abitazioni civili,OTTIMO,P,1500,1950,L,5.4,8.0,L,2023_1,Milano,1725.0,6.7
NORD-OVEST,LOMBARDIA,MI,3015005,C1AH, ,A127,ALBAIRATE,B,B1,MI00004588,20,Abitazioni civili,NORMALE, ,1000,1450,L,3.8,5.3,L,2023_1,Milano,1225.0,4.55
NORD-OVEST,LOMBARDIA,MI,3015006,C1AI, ,A159,ALBIATE,B,B1,MI00004428,20,Abitazioni civili,NORMALE,P,1000,1500,L,4.2,6.1,L,2023_1,Milano,1250.0,5.15
NORD-OVEST,LOMBARDIA,MI,3015006,C1AI, ,A159,ALBIATE,B,B1,MI00004428,20,Abitazioni civili,OTTIMO, ,1550,2200,L,6.2,8.5,L,2023_1,Milano,1875.0,7.35
NORD-OVEST,LOMBARDIA,MI,3015007,C1AM, ,A375,ARCONATE,B,B1,MI00004449,20,Abitazioni civili,NORMALE, ,1000,1450,L,3.8,5.5,L,2023_1,Milano,1225.0,4.65
NORD-OVEST,LOMBARDIA,MI,3015007,C1AM, ,A375,ARCONATE,B,B1,MI00004449,20,Abitazioni civili,OTTIMO,P,1450,1700,L,5.6,6.6,L,2023_1,Milano,1575.0,6.1
NORD-OVEST,LOMBARDIA,MI,3015008,C1AN, ,A376,ARCORE,B,B1,MI00004410,20,Abitazioni civili,OTTIMO,P,1800,2300,L,7.0,9.5,L,2023_1,Milano,2050.0,8.25
NORD-OVEST,LOMBARDIA,MI,3015008,C1AN, ,A376,ARCORE,B,B1,MI00004410,20,Abitazioni civili,NORMALE, ,1500,1800,L,5.5,7.0,L,2023_1,Milano,1650.0,6.25
NORD-OVEST,LOMBARDIA,MI,3015008,C1AN, ,A376,ARCORE,D,D1,MI00004411,20,Abitazioni civili,OTTIMO,P,1750,2400,L,6.5,9.0,L,2023_1,Milano,2075.0,7.75
NORD-OVEST,LOMBARDIA,MI,3015008,C1AN, ,A376,ARCORE,D,D1,MI00004411,20,Abitazioni civili,NORMALE, ,1300,1750,L,5.1,6.4,L,2023_1,Milano,1525.0,5.75
NORD-OVEST,LOMBARDIA,MI,3015009,C1AP, ,A389,ARESE,B,B1,MI00002304,20,Abitazioni civili,OTTIMO,P,2500,3000,L,8.6,11.0,L,2023_1,Milano,2750.0,9.8
NORD-OVEST,LOMBARDIA,MI,3015009,C1AP, ,A389,ARESE,B,B1,MI00002304,20,Abitazioni civili,NORMALE, ,1650,2450,L,6.0,8.5,L,2023_1,Milano,2050.0,7.25
